id,epulet,emelet,x,y,teremnev,tipus
0,K,F,2483,856,KFK,2
1,K,F,462,2239,KFK,2
2,K,F,4496,2239,KFK,2
3,K,F,2480,1088,KFF,0
4,K,F,2218,1086,KFF,0
5,K,F,2217,1941,KFF,0
6,K,F,2744,1944,KFF,0
7,K,F,2748,1089,KFF,0
8,K,F,2752,2538,KFF,0
9,K,F,2214,2543,KFF,0
11,K,F,3132,1942,KFF,0
12,K,F,3917,1932,KFF,0
13,K,F,4230,2241,KFF,0
14,K,F,3146,2224,KF38,1
17,K,F,728,2241,KFF,0
19,K,F,2484,1484,KF51,1
20,K,3,2228,1078,K3F,0
21,K,3,2738,1081,K3F,0
22,K,3,2552,1080,K3F,0
23,K,3,2214,1949,K3F,0
24,K,3,762,1949,K3F,0
25,K,F,1094,2229,KF76,1
26,K,F,1046,2541,KFF,0
